Feature,365_FC_CURE_SO010-S2_Male_CD,427_FC_CURE_SO105-S2_Male_CD,367_FC_CURE_SO107-M15_Female_CD,023_FC_CURE_SO110-M3_Male_CD,357_FC_CURE_SO111-S2_Male_CD,265_FC_CURE_SO114-M21_Female_CD,327_FC_CURE_SO116-S2_Female_CD,400_FC_CURE_SO014-S2_Female_CD,241_FC_CURE_SO002-M3_Male_CD,337_FC_CURE_SO022-S2_Male_CD,402_FC_CURE_SO024-M6_Male_CD,216_FC_CURE_SO027-M6_Female_CD,414_FC_CURE_SO003-M15_Male_CD,100_FC_CURE_SO032-S2_Female_CD,372_FC_CURE_SO033-S2_Female_CD,250_FC_CURE_SO036-S2_Female_CD,275_FC_CURE_SO038_S2_Male_CD,281_FC_CURE_SO039-S_Male_CD,355_FC_CURE_SO043-M6_Male_CD,310_FC_CURE_SO044-S2_Male_CD,424_FC_CURE_SO048-M3_Male_CD,394_FC_CURE_SO005-S2_Male_CD,008_FC_CURE_SO055-M3_Female_CD,429_FC_CURE_SO056-M9_Female_CD,225_FC_CURE_SO057-M3_Male_CD,299_FC_CURE_SO059-S2_Female_CD,352_FC_CURE_SO061-S2_Female_CD,217_FC_CURE_SO062-M3_Male_CD,269_FC_CURE_SO066-S2_Male_CD,212_FC_CURE_SO007-S2_Male_CD,042_FC_CURE_SO071-S_Male_CD,346_FC_CURE_SO072-S2_Male_CD,420_FC_CURE_078-M3_Male_CD,396_FC_CURE_SO009-S2_Female_CD
Methyl Jasmonate,0.54564614,0.321893191,2.49073776,1.190130111,0.980896443,1.209104686,0.796085299,0.775254443,0.277779583,0.326297179,1.020230839,0.120614461,0.272926809,0.261836098,0.192699697,0.469299225,0.354406907,0.655940289,0.489079439,0.238312041,1.020146319,0.485597288,0.135804598,1.875945993,1.124647903,2.500658823,1.504415476,0.341731618,1.703014776,0.446274654,0.821128087,1.543176926,0.157855074,0.849824755
Methyl Vanillate,0.761534472,0.742225873,0.515037655,2.172900897,1.457632497,1.005430798,1.357609725,1.349612475,1.157137855,0.686932702,1.128581241,0.40233562,1.082270734,0.871150344,0.289482927,0.69026606,0.253303541,0.581945268,0.865791521,0.631662447,0.461760768,1.055339534,0.620085723,2.385077872,1.773844997,2.22981469,2.260253384,0.592639653,1.313216493,1.472309679,1.206505922,1.255434847,0.797241288,0.877744923
methyl-lysine,0.098162623,0.116713387,0.111543554,0.007954068,0.04361769,0.252988655,0.095292729,0.023358651,0.033287874,0.007506185,0.062798563,0.102221591,0.277993204,0.098437397,0.144691121,0.416381809,0.211974355,0.092562148,0.172721175,0.500130172,0.002426368,0.015249353,0.164784702,0.335137858,0.253207443,0.082760829,0.2072693,0.108586032,0.825125179,0.394927191,0.219191944,0.089262406,0.153211099,0.038831211
Methylarginine,0.017439936,0.133677729,0.155270136,0.018957808,0.041472153,3.940508082,0.019680497,0.081530878,0.039815849,0.021200607,0.044577818,0.042317564,0.110539084,0.015559689,0.599203972,0.069348361,0.530895679,0.173096496,0.090273449,0.228824033,0,0.045137832,0.063404482,0.530322428,0.416393303,0.139568952,0.081743377,0.018012677,0.345247859,2.054241622,0.17389852,0.360638338,0.134967418,0.056302427
Methylguanidine,0.112590495,0.480521726,0.252949401,0.323023151,0.240400146,0.291070469,0.257951431,0.022796426,0.949112743,0.156738035,0.725701221,0.111759023,0.516030248,0.052209768,0.14990406,0.487265812,0.079997874,0.183038094,0.147640785,0.117917172,0.099307852,0.050508554,0.195928513,0.317409871,0.495907543,0.614409658,0.115843636,0.186223524,0.70612896,0.220840246,0.112881481,0.174660264,0.212988334,0.482121098
Methylmalonate,0.108911146,0.150719584,0.437476848,0.224544834,0.209889943,0.585559116,0.3322194,0.144459449,0.146553721,0.126041391,0.331797406,0.144388145,0.358947573,0.258009995,0.494637162,0.369380709,0.102642907,0.150507388,0.156634852,0.400404538,0.161073526,0.210278727,0.14966288,0.468265691,0.209575762,0.214739668,0.323327352,0.100040792,0.209246755,0.457967355,0.235485896,0.677552227,0.14950987,0.213523951
Methylthioadenosine,0.132102662,0.191957883,0.76743113,0.244487999,0.344718587,0.297570821,0.105788017,0.052824037,0.17627775,0.122611711,0.186628091,0.112117248,0.239812041,0.198587392,0.134793955,0.06392491,0.001544625,0.051194369,0.084488148,0.028620638,0.923965418,0.061860367,0.541195035,0.0812879,3.130530953,0.119117454,0.049526485,0.100683509,0.180994845,0.135871971,0.582855082,2.212176505,0.092921702,0.624434744
Mevalolactone,3.58507744,3.368157216,1.755958607,3.469637496,10.16780874,2.936537656,14.70288269,1.309622996,15.69842789,1.512749774,3.094005087,2.970430462,0.814851095,1.390962939,0.44897866,3.203122739,1.218420082,0.659548097,21.08132438,1.096469217,3.394330582,1.343847783,1.184615929,5.010890851,1.796852787,31.22061027,2.853765397,6.26847783,3.05804674,2.153072347,2.245896538,4.564794694,1.263317374,64.87973396
Mevalonate,2.362692843,4.958435555,2.665006951,2.62344012,2.755296759,2.913891909,1.339556082,1.324856941,6.679475886,1.789641661,0.983390453,1.668979223,0.921615927,3.187836441,14.65279789,4.645205205,9.515241393,13.05361286,2.067939406,62.01849178,1.075629154,1.780421791,1.041293129,214.8201258,2.697805625,0.928882102,4.231114278,1.480726672,2.766084872,2.910393756,11.42960314,4.906082697,1.217059928,2.756205441
Monoethylmalonate,0.494465823,3.277972641,0.679969621,4.713289856,7.013284802,1.365292484,0.37368502,0.874926267,3.330580607,5.109257751,1.491789745,1.2151565,1.149759329,4.637259728,1.709510861,2.61802282,0.487101196,2.252466654,1.370498566,0.795877949,2.378809187,2.792049731,2.738557574,2.066831497,6.562234949,1.11705513,5.767870201,5.742597463,1.218303565,4.573243499,3.681166465,6.865211977,2.847037065,7.95201652
Myo-Inositol,0.2847067,0.515385917,0.981839903,0.189406673,0.137037034,0.526073045,0.360062307,1.700052366,0.310383503,0.242567952,0.210881597,0.433816117,0.124008835,0.411105257,0.420952469,1.538379265,1.403813183,5.798490678,0.123623129,1.073535442,0.160883955,1.69774784,0.893348719,1.40505889,0.246256894,0.688579466,0.324332461,0.107745518,0.868186034,0.664860007,0.331826866,0.458906232,2.180171956,0.247890921
Myristic acid,110.320619,134.2521092,63.21054205,191.3721192,391.2862885,67.58821485,199.5879004,158.1627126,211.2249123,186.0601066,226.9089357,232.1482127,77.0430774,127.4288101,44.6633579,184.2921669,68.91440345,69.65287979,335.0349895,18.28586459,64.75123923,146.5248697,67.6670076,124.971404,60.8971686,105.1969245,140.8550866,490.7927366,31.17299168,147.2875982,156.9192531,156.5301658,151.6620119,161.7151578
Myristoleic acid,3.197958455,4.186598225,5.783013134,3.225280556,2.693073741,2.903069005,2.313135061,8.570113492,2.236443522,2.117211584,12.62341878,6.30479734,2.522332363,1.925188626,0.969153373,6.39426731,3.330188279,3.151620751,4.203896059,2.552880445,2.040569232,5.320360145,4.703875038,3.147385934,2.959763761,5.250408248,4.251745371,2.669903167,3.339537199,2.183303647,5.309036128,2.806003005,2.205599872,5.819317629
N-Acetyl-L-Aspartic Acid,1.918183894,2.850374425,3.083137133,1.192671989,1.075836824,1.113428059,0.197786029,0.241693314,1.832562429,1.603096573,1.583105824,0.297545619,2.11268034,3.215004895,0.202742645,0.570562194,0.119471194,0.476515006,5.857368607,0.542577122,0.943440764,1.985220628,2.405618933,12.3035408,1.230305454,0.46167098,0.326716038,0.786547919,1.581796275,1.590145719,4.910399814,2.176951377,0.44325289,0.309791766
N-Acetyl-L-glutamine,0.067003748,0.209585026,0.600290837,0.11984144,0.189913192,0.618555174,0.210262158,0.047433011,0.217528651,0.118096354,0.237701503,0.219345417,0.39117727,0.311124139,0.408082608,0.398721611,3.674958698,0.168805959,0.108961868,0.401844008,0.05935208,0.246091503,0.072924922,0.610041369,0.237026415,0.287006585,0.456424451,0.053442728,2.203664092,0.223266559,0.072995245,0.103172133,0.296441092,0.234006608
N-Acetylalanine,0.180770561,0.373553467,0.670567652,0.184812661,0.248008437,0.384212675,0.233942177,0.488333028,0.431621815,0.180821932,0.473992507,0.462578543,0.310395867,0.348492588,0.425305886,0.421863048,0.995628086,0.605608571,0.162586041,1.676669699,0.129833533,0.305346424,0.11453894,0.498538077,0.595642872,0.508737435,0.214407961,0.108778466,1.038608125,0.313936899,0.177347005,0.92440886,0.425669427,0.465784244
N-Acetylasparagine,0.107434988,0.293116386,1.82434399,0.185694682,0.556202825,1.446462586,0.268240953,0.428677974,0.164491091,0.16164738,0.445153693,0.165804185,0.62219459,0.171192889,0.247669514,0.328963053,1.288838224,2.62239697,0.182694685,1.062185447,0.118302454,0.815982271,0.380693645,0.792330563,0.869663252,0.290465813,0.147264063,0.198161058,1.083898454,0.182618242,0.103197628,1.451848068,0.662568202,0.259059408
N-Acetylglucosamine,1.529450433,6.857136255,13.32073049,0.318720999,2.19016182,5.385277504,4.220390708,5.544833184,5.3989539,0.640025243,1.755301484,2.508544897,3.931920296,1.059441759,3.477227134,8.508577028,4.929760003,9.223128892,0.52331192,1.448894609,0.176952069,19.18778193,0.7648907,4.003818707,1.016706996,3.488582847,3.157520558,0.129342954,13.30617533,1.194020836,0.458959466,1.386860753,6.698933753,4.803465836
N-Acetylglutamate,0.079603701,0.156872081,0.276518147,0.072054822,0.100442733,2.21622152,0.512000147,0.121006433,0.080515844,0.052788107,0.088396575,0.069279247,0.351254048,0.375020881,0.068367305,0.065659381,0.088603421,0.221045998,0.06852252,0.135281221,0.027317064,0.170324112,0.092163325,1.137211721,0.244939096,1.182425017,0.48126004,0.03488839,1.113641506,0.304777949,0.05467865,0.148200178,1.174851532,0.079783384
N-Acetylglycine,0.067403579,0.112360941,0.184275936,0.069921875,0.18195583,0.232826905,0.145379654,0.078106785,0.117294114,0.072981291,0.146460964,0.067786539,0.092860328,0.100713992,0.108460153,0.269616328,0.259740172,0.321490216,0.076868428,2.817343528,0.046363493,0.289780645,0.044380275,0.284249119,0.665679766,0.218573894,0.127250597,0.042632868,0.297019546,0.086274248,0.065545003,0.351877083,0.135229209,0.231371212
N-Acetylleucine,0.651832558,4.726537391,1.131818233,1.133020863,0.30694414,1.820549468,7.165738533,0.712660649,1.384303504,0.870754776,1.257101512,2.010763465,1.292168793,0.543017268,3.304939814,1.19704289,0.839634036,0.882670172,0.567146451,2.602950949,0.161749081,1.978615515,0.971155889,2.027708927,7.94874057,3.210918568,1.172592056,0.126158306,1.491664406,0.266179845,6.291015342,1.53852549,1.155210212,2.568143871
N-Acetylmethionine,0.084771826,0.160618347,0.307756281,1.088351829,0.862081353,0.494749475,0.664245454,0.051057856,0.213797225,0.516223574,0.225327811,0.393449466,0.231713628,0.739318281,0.230001051,0.84411747,0.10745193,0.094330783,0.110382094,0.185385204,0.192635926,0.504339686,0.116875477,0.380311943,0.204363832,1.433768163,0.138084359,0.159898922,0.584354011,0.254660949,0.116710194,0.191771199,0.160613573,2.605055235
N-Acetylneuraminate,3.178704142,9.035099109,10.77390063,0.419421285,0.914106887,24.80552197,6.901094666,25.35236466,13.8001727,0.691527513,2.596083678,7.319527523,7.330428058,0.787197679,6.155282787,14.90277761,4.192510737,25.32831992,0.718684775,6.838246935,0.567187694,22.01363043,0.886827772,10.09426592,0.619126072,5.697649002,4.799504985,0.074111447,38.52511236,2.866222109,0.222662026,3.974343853,12.87394633,4.669280014
N-Acetylphenylalanine,0.688012188,2.579349691,1.887620668,1.35656959,1.123875808,2.9277671,2.955112389,0.878512693,1.33340467,1.04217879,1.156153076,3.110434162,1.308433498,0.557604582,6.417069656,2.208669619,0.880004223,0.783994638,0.650071801,0.837484518,0.327526874,3.687130824,0.404513123,2.471147507,9.28839344,3.88281787,2.124278692,0.338213103,2.969184145,0.550298026,7.519481026,5.807966961,0.990026259,2.781657938
N-Acetylputrescine,1.210359694,5.680152805,95.13301316,0.113234194,0.915200041,7.183890756,0.261854288,10.01180158,0.7552378,4.917603505,0.779716057,100.0408485,3.061910928,0.38311225,66.04877927,183.5178301,29.43629519,4.717830868,0.172580714,209.7120134,0.58907471,24.30618495,0.461388512,200.1176077,139.3502777,1.598106533,18.61686357,0.08094675,2.707456823,178.6253851,14.42009588,19.56812196,133.4833461,1.252601448
N-Acetylserine,0.039250242,0.050668231,0.101921574,0.035918459,0.060825747,0.142183639,0.082725516,0.071356543,0.060615955,0.046810513,0.042602141,0.051310185,0.02702034,0.05981058,0.034445662,0.034616131,0.625105347,0.079640476,0.058380538,0.057854612,0.016403556,0.042101219,0.03791729,0.142123348,0.181960602,0.107421418,0.071743711,0.03115094,0.373382486,0.071679413,0.038431946,0.044596249,0.036792155,0.045807873
N-Acetylserotonin,0.061218078,0.191910255,0.281102147,0.636439931,0.136763348,0.229958216,0.16657526,0.027960699,0.211374123,0.416851728,0.235674684,0.140647115,0.220867424,0.153650446,0.060200379,0.13786751,0.041811574,0.066792801,0.078012545,0.070403066,0.06458916,0.164490763,0.284000619,0,0.203775357,0.478072512,0.078098769,0.028699835,0.346543191,0.128882312,0.197466989,0.072121905,0.164234714,0.388448857
N-Acetyltryptophan,0.099874455,0.358568486,0.229557528,0.796752333,0.214298792,0.22038279,0.26617014,0.060605321,0.560087709,0.320594683,0.283104987,0.183971419,0.223518507,0.296730302,0.116061382,0.176312993,0.146896405,0.139731668,0.174600951,0.121675348,0.07645726,0.513361007,0.17462351,0.310323975,0.209452601,0.445675065,0.143335062,0.113287738,0.353028474,0.124273682,2.010630814,0.275057283,0.167155047,1.501120719
N-Alpha-Acetyllysine,6.853566916,13.88745829,21.0916522,1.744141155,6.679599114,22.21365748,21.94880829,0.666411011,6.594005837,2.609915969,6.57359879,0.491349728,15.48155555,2.155084776,2.218356231,4.913291001,0.753747005,0.670739833,5.348304671,2.044886843,0.99200715,3.210930439,1.700479152,18.74922187,20.10434608,13.59204523,5.630413848,0.774340205,26.62132656,2.497300112,1.259819023,1.44225897,3.685335963,10.95519303
N-Butylbenzenesulfonamide,2.108182523,1.773495625,9.765731551,1.993723741,2.668066309,2.311287185,1.338126189,2.68110983,1.292490046,1.70070195,1.221502364,0.768398905,1.420524159,2.019487039,1.031851183,1.459388191,0.501179559,1.248675317,2.241198961,0.683755125,1.669519232,1.844998663,1.146911296,4.160266457,3.042595486,2.980859677,4.045928106,1.522107759,3.766615728,1.347677567,1.548187955,4.099208073,1.462444873,2.493228875
N-Carbamoyl-L-aspartate,0,0.079251471,0,0.014644866,0,0.041659752,0.13605471,0.022878838,0.140009786,0,0.02879189,0.00171763,0.110330603,0,0.020807127,0,0.003483862,0.07552989,0,0.018443935,0,0.02359782,0.022564721,0.076413713,0.005173288,0.058501674,0.159486129,0.012315135,0.024156115,0.095536807,0.604159532,0,0.055607017,0.1741354
N-Formyl-L-Methionine,0.622278201,0.052210053,0.308871428,0.910741573,1.813347311,0.224216642,0,2.129275091,0.385263347,1.680789851,0.326721652,0.544175525,0.049070209,1.838612269,0.561523603,0.050110467,0.120421288,1.100565703,1.559791573,0.707750709,1.251268693,29.24416227,0.338773059,0.555013606,1.245250567,0.208499407,0,0.67536479,0,4.343592936,1.271986665,22.84196689,0.167502773,0.130961725
N-Formylglycine,0.112858953,0.196173723,0.14845285,0.264355561,0.386024326,0.118706027,0.110818602,0.326427101,0.055030898,0.473566116,0.085771776,0.15608188,0.20145116,0.324448619,0.118271309,0.108751522,0.032315173,0.120768018,0.145562515,0.689219304,0.14681583,0.165675758,0.094719651,0.945926563,0.533791068,0.187430587,0.226177925,0.090030414,0.173494123,0.212241827,0.107111638,0.387483638,0.100452614,0.234624643
