Feature,001_SMC_IIRN_p3s1,002_SMC_IIRN_p3s2,003_SMC_IIRN_p3s3,004_SMC_IIRN_p3s4,005_SMC_IIRN_p4s1,006_SMC_IIRN_p4s2,007_SMC_IIRN_p4s3,008_SMC_IIRN_p4s4,009_SMC_IIRN_p5s1,010_SMC_IIRN_p5s2,011_SMC_IIRN_p5s3,012_SMC_IIRN_p5s4,013_SMC_IIRN_p8s1,014_SMC_IIRN_p8s2,015_SMC_IIRN_p8s3,017_SMC_IIRN_p9s1,018_SMC_IIRN_p9s2,019_SMC_IIRN_p9s3,020_SMC_IIRN_p9s4,021_SMC_IIRN_p10s1,022_SMC_IIRN_p10s2,023_SMC_IIRN_p10s3,025_SMC_IIRN_p11s1,026_SMC_IIRN_p11s2,027_SMC_IIRN_p11s3,028_SMC_IIRN_p11s4,029_SMC_IIRN_p12s1,030_SMC_IIRN_p12s2,031_SMC_IIRN_p12s3,032_SMC_IIRN_p12s4,034_SMC_IIRN_p13s1,035_SMC_IIRN_p13s2,036_SMC_IIRN_p13s3,037_SMC_IIRN_p13s4,038_SMC_IIRN_p13s5,039_SMC_IIRN_p13s6,040_SMC_IIRN_p13s7,044_SMC_IIRN_p14s1,045_SMC_IIRN_p14s2,046_SMC_IIRN_p14s3,047_SMC_IIRN_p14s4,048_SMC_IIRN_p15s1,049_SMC_IIRN_p15s2,050_SMC_IIRN_p15s3,052_SMC_IIRN_p16s1,053_SMC_IIRN_p16s2,054_SMC_IIRN_p16s3,055_SMC_IIRN_p16s4,056_SMC_IIRN_p17s1,057_SMC_IIRN_p17s2,058_SMC_IIRN_p17s3,059_SMC_IIRN_p17s4,060_SMC_IIRN_p18s1,061_SMC_IIRN_p18s2,062_SMC_IIRN_p18s3,064_SMC_IIRN_p19s1,065_SMC_IIRN_p19s2,066_SMC_IIRN_p19s3,068_SMC_IIRN_p25s1,069_SMC_IIRN_p25s2,070_SMC_IIRN_p25s3,074_SMC_IIRN_p27s3,075_SMC_IIRN_p27s4,076_SMC_IIRN_p29s1,077_SMC_IIRN_p29s2,078_SMC_IIRN_p29s3,079_SMC_IIRN_p29s4,080_SMC_IIRN_p29s5,081_SMC_IIRN_p29s6,082_SMC_IIRN_p29s7,083_SMC_IIRN_p29s8,084_SMC_IIRN_p29s9,086_SMC_IIRN_p34s1,087_SMC_IIRN_p34s2,088_SMC_IIRN_p34s3,089_SMC_IIRN_p34s4,090_SMC_IIRN_p36s1,091_SMC_IIRN_p36s2,092_SMC_IIRN_p36s3,093_SMC_IIRN_p36s4,094_SMC_IIRN_p37s1,095_SMC_IIRN_p37s2,096_SMC_IIRN_p37s3,097_SMC_IIRN_p37s4,099_SMC_IIRN_p38s2,100_SMC_IIRN_p38s3,102_SMC_IIRN_p41s1,103_SMC_IIRN_p41s2,104_SMC_IIRN_p41s3,105_SMC_IIRN_p41s4,106_SMC_IIRN_p42s1,107_SMC_IIRN_p42s2,108_SMC_IIRN_p42s3,110_SMC_IIRN_p43s1,111_SMC_IIRN_p43s2,112_SMC_IIRN_p43s3,113_SMC_IIRN_p43s4
5-Methylcytosine,0.001201411,9.54E-04,0,0.001596187,0,0.001992474,0.001054461,0,0.001425376,0.001715377,0.001150028,0.00178617,0,0,0,0.001174393,0.001149697,0.001021182,0,0.00102559,0,0.001229539,0,9.95E-04,9.98E-04,0,0.00124324,0.001386627,0.001574551,0.001313135,0.003418636,0.001226377,0.001196309,0.001118575,0.001404827,0.001772701,0.001252123,0,0,0.001206481,0.001136028,0,0,0,0,0,0,0,0,0,0,0,0.001160802,0,0.001400565,0.00124195,0.001255571,0,0,0,0,0.001392175,0,0.001888738,0.001882453,0,0.001912729,0.001334332,0,0,0,0.001141561,0,0.001089587,0.001267394,0.001515606,0,0,9.77E-04,0.001500389,0.001401408,0,0,0.001361959,0,0.001928428,0.001410925,0.001098144,7.45E-04,0,0,0,9.07E-04,0.001061925,0,0.001665224,0.001151113
5-Valerolactone,0.007585362,0.005666734,0.008932877,0.006709171,0.008068668,0.002656898,0.00608648,0.005940316,0.00847708,0.010143165,0.007469927,0.00622686,0.003643572,0.005313041,0.010202627,0.004495712,0.004980868,0.007010252,0.007798214,0.003173551,0.005922555,0.005148065,0.004129428,0.003403819,0.006731652,0.002926971,0.005819138,0.006233416,0.005039566,0.004339069,0.007472851,0.004680978,0.006177497,0.006991231,0.007093436,0.004387694,0.003261883,0.00707404,0.008286805,0.005062115,0.005758605,0.003556565,0.005371291,0.006785404,0.003913806,0.007132206,0.006692616,0.007595734,0.007360465,0.007573181,0.008978127,0.003781209,0.006377711,0.006543181,0.004343894,0.00757685,0.011360857,0.005754664,0.003619736,0.004646481,0.008096356,0.004820572,0.002995992,0.004619368,0.009945634,0.004212373,0.004636631,0.004253638,0.006965059,0.009181416,0.006841794,0.006940918,0.009693922,0.005591579,0.009058296,0.003610986,0.004141951,0.007907758,0.007150694,0.00533725,0.009468152,0.003585505,0.006162832,0.00690931,0.003077298,0.008509166,0.003780526,0.00472007,0.004094642,0.004509889,0.003120914,0.004633097,0.004094449,0.003487853,0.004763453,0.007909144,0.004529771
"5,6 Dimethylbenzimidazole",0.003576426,0.003617864,0.001782831,0.003734539,0.004122136,0.002936722,0.003324886,0.003768394,0.004180803,0.002968794,0.003069877,0.003509831,0.003621714,0.004499271,0.003740824,0.003323639,0.003783609,0.003694266,0.002565943,0.003502492,0.00411387,0.003887755,0.006489147,0.00370546,0.003928819,0.002439611,0.003752428,0.003879817,0.00386295,0.002769611,0.004029983,0.004498148,0.003137818,0.00437762,0.003529893,0.003903746,0.002116459,0.004441999,0.005238812,0.004309648,0.004958234,0.003936055,0.003009664,0.003162672,0.003543754,0.003018203,0.003290608,0.004591175,0.002960399,0.002620353,0.003785713,0.003339112,0.003000775,0.003828085,0.003140856,0.00454036,0.003501033,0.004125985,0.003679535,0.003434648,0.00344738,0.010077813,0.003344676,0.003847429,0.00336927,0.002956189,0.004323659,0.003483182,0.003482804,0.004347498,0.003191178,0.003455745,0.004310973,0.00338164,0.003436792,0.003978441,0.003754752,0.003609244,0.003260957,0.003477156,0.003465728,0.004038364,0.004728889,0.003779321,0.00330616,0.00307958,0.004128889,0.004570239,0.003815631,0.003948334,0.003947031,0.003715187,0.004001786,0.00324563,0.003418372,0.003167196,0.003199633
"5(Z),8(Z),11(Z)-Eicosatrienoic Acid",0.011899576,0.003774218,0.012346638,0.007941168,0.003233708,0.015682293,0.007588114,0.0108395,0.003816853,0.011199132,0.007141306,0.012188147,0.009880556,0.003332797,0.008117087,0.025318176,0.007767435,0.011330329,0.011414893,0.007931339,0.011440164,0.00506381,0.006318566,0.003737391,0.008152667,0.017287289,0.005616808,0.003466731,0.007336484,0.007084621,0.011820897,0.009805626,0.01431751,0.004263926,0.01762904,0.009928926,0.011819585,0.019940766,0.025000517,0.013472048,0.021123011,0.006063383,0.003651511,0.012471829,0.022398219,0.009384011,0.0038039,0.004248612,0.011215515,0.013731394,0.006043024,0.013459395,0.019964891,0.01143691,0.012289115,0.020206331,0.012695568,0.012911617,0.004198817,0,0.004146068,0.006138628,0.004972181,0.016646331,0.017518567,0.015152042,0.021780793,0.016818437,0.016485625,0.019304334,0.003029127,0.010970989,0.01290863,0.020268098,0.003578833,0.003490342,0.004855463,0.004420156,0.004061326,0.008551793,0.01094998,0.01606551,0.003727697,0.011777414,0.009869514,0.015584482,0.007139786,0.00485451,0.006133474,0.008184819,0.005710766,0.009400228,0.009637292,0.025630869,0.008197313,0.010536194,0.005447245
6-Carboxyhexanoate,0.001725602,0,0,0.001337187,0.00187983,0,0.001221978,0.001542651,0,0.001751955,0,0.001528879,0.00189879,0.001275019,0.001283862,0.001556829,0.001750283,0.001783486,0.001556438,0.001728622,0.001478665,0.002492946,0.001327949,0.001865772,0.001709088,0.001655095,0.001480112,0.001321234,0.001590879,0,0.001973125,0.001577952,0.001444525,0.003055164,0.001819731,0,4.07E-04,0.001494188,0.001655774,0,0.002266025,0.001894515,0,0.001397046,0.002330652,0,0.002206912,0,0,0.001661412,0.001967339,0.001494642,0.001820898,0.001419249,0,0.001828482,0.001573465,0,0,0,0,0,0.001831319,0.001943228,0.001512846,0.002151922,0.001586818,0.001569574,0.002151021,0,0.00183534,0.002192562,0.001682242,0,0.00209043,0.001723811,0.001395808,0.001758139,0,0,0,0,0.001998175,0.001908755,0.002247242,0.001673075,0.001656272,0.001824166,0.002652209,0,0.001733899,0.001621938,0.001322125,0.002615429,0.001824341,0.001829105,0
6-Hydroxynicotinate,0.001463279,0.001661416,0.002496051,0.001251429,0.001808909,0.001073991,0.002381507,0.001150855,0.001688204,0.004403611,0.001955011,0.001184755,0.01039488,0.001737621,0.001652757,0.001726134,0.001361831,0.001668445,0.001612345,0.002851894,0.001317138,0.013702291,0.001935401,0.001717164,0.001838487,0.002181143,0.001969076,0.002116213,0.001157472,0.002017688,0.001878164,0.002002066,0,0.002835888,0.002763416,0.001803728,0.001550114,0.002195995,0.002402994,0.002419091,0.002337142,0.00272821,0.003952983,0.001406151,0.002938456,0.001605077,0.003984164,0.003254549,0.001542008,0.001421584,0.001653316,0.00304493,0.002257028,0.001756727,0.016258455,0.003076947,0.003120667,0.002701197,0.004848212,0.001903402,0.002190126,0.002254695,0.002486288,0.009867233,0.003929331,0.00925921,0.003361644,0.006813832,0.001721171,0.001625965,0.001687822,0.003355822,0.004136702,0.001951694,0.00237276,0.002586864,0.002354446,0.003496571,0.001843647,0.001894818,0.011080713,0.001828998,0.003824749,0.001642013,0.002170338,0.003662556,0.001433029,0.002677104,0.001871542,0.00259126,0.001874279,0.002368915,0.002254665,0.002642869,0.002373256,0.003217616,0.002082835
9-Decenoic acid,0.017424236,0.017060019,0.017229363,0.01523703,0.016248271,0.047281131,0.01862284,0.051980861,0.013623738,0.020267608,0.013892036,0.019524079,0.014837373,0.0208567,0.016972634,0.093155989,0.040717323,0.019387272,0.031909556,0.015703373,0.022026468,0.0120923,0.017800282,0.018049732,0.010771207,0.02730748,0.029939157,0.027473075,0.020054049,0.024474807,0.018756843,0.021088836,0.027755335,0.01282056,0.022253491,0.016750987,0.0176206,0.060944223,0.026105073,0.032638356,0.030458289,0.025264418,0.020638405,0.026932902,0.023056878,0.031878054,0.015182928,0.014730223,0.017565756,0.026922756,0.016011067,0.027090439,0.047358963,0.019567164,0.029596797,0.023325658,0.016725808,0.019890543,0.013697579,0.005212776,0.01676546,0.013817042,0.018080338,0.01903337,0.018230844,0.017190237,0.022622249,0.026557156,0.028588576,0.025211695,0.014898759,0.015839626,0.029152184,0.032394513,0.019864325,0.014939593,0.012097586,0.012702172,0.015610911,0.019768227,0.013474998,0.013304784,0.011139158,0.017707116,0.032176004,0.097840359,0.01854025,0.020257614,0.014159607,0.024380928,0.021755827,0.023332217,0.044957308,0.047464945,0.01926734,0.013766514,0.019896855
Acetaminophen,9.45E-04,7.80E-04,0.001034248,8.10E-04,0.011015804,0,8.20E-04,0,0.002642984,0.001836135,0,0.001357517,0.001114644,0.005363579,0,0,1.00E-03,0.027986757,0.001218806,0.001116208,0.001041368,0.001512001,7.73E-04,0.001109164,8.18E-04,0.001190372,0.001800877,9.31E-04,7.83E-04,0.00117775,9.18E-04,0.001188943,0,0.001266253,0.001024977,0.001166194,0,0,0,0.002066746,0.001085177,0.001435612,0.004025226,0.001262539,0.001361724,9.33E-04,0.001627337,0.001085322,0.001004759,7.57E-04,9.15E-04,0,0,0.001930599,0,0.001007603,0,9.95E-04,0.001098077,0,9.69E-04,0.004258115,0.001681493,0,0,0.006099947,0,0.001160118,8.46E-04,0,0.001064348,0.001569903,0.001535203,0.001484916,0.001356841,0.002000663,0.001379076,0.001160616,0.001030868,0.001808147,0.001347889,0,0.00121604,0.001297804,0.001464591,0.001210779,0.001317415,0.155475247,0.001617643,9.63E-04,0,8.70E-04,9.70E-04,0.037789466,0.051187988,0.043625185,0.064676992
Acetoacetate,0.106364183,0.026101192,0.076536932,0.034968309,0.015576389,0.056643092,0.010233181,0.026841859,0.026053336,0.134431068,0.009238463,0.020866882,0.011351088,0.024797607,0.015528293,0.104639963,0.032514476,0.014231579,0.148971019,0.009955405,0.023205895,0.008881707,0.010702826,0.009323736,0.018046436,0.018954488,0.020059733,0.010692204,0.009421641,0.021250548,0.019911314,0.007739992,0.017581798,0.013245296,0.010802798,0.014451595,0.01068032,0.034514225,0.029126317,0.02332448,0.031700025,0.035804712,0.015113991,0.096366142,0.020006843,0.053049514,0.020899615,0.029928126,0.017725307,0.032338683,0.02244573,0.016722832,0.016513183,0.009546646,0.013325792,0.011391918,0.024206639,0.016135252,0.009770751,0.018633215,0.024529315,0.025985866,0.019018079,0.018915031,0.021337766,0.012711014,0.009891481,0.020886722,0.013102036,0.026332518,0.02039615,0.008161545,0.024863837,0.023197709,0.016063274,0.014260471,0.015507479,0.028178276,0.012810749,0.008975714,0.049700861,0.019610143,0.008694309,0.008958655,0.013544548,0.013811272,0.014851972,0.010144296,0.019955442,0.016069455,0.011775519,0.020919023,0.013677502,0.105359025,0.021572034,0.018564218,0.009216398
acetyl-carnitine,0.916443862,0.633622185,1.140376749,0.838089279,0.635803389,1.445224896,0.842990565,1.390168242,0.878210208,2.211477554,0.840952129,0.815665773,1.339149774,1.154916411,1.164886678,2.023453895,1.175772114,0.870580287,1.462365345,0.849709189,1.571821713,0.610925361,0.971234917,0.718895317,1.025211661,1.586383688,1.128820029,0.866090963,0.856775312,1.067067374,0.866245015,1.117186071,1.904105365,0.970188311,1.420004687,1.262710375,1.152238794,1.347051915,1.265728933,1.278520555,1.115895924,1.20676463,0.998893263,3.265889498,1.7784061,1.098647356,0.640658986,0.780784597,1.435687155,1.215286478,1.062641642,1.833205026,2.110812615,1.202428738,1.495181618,1.325485604,1.198999467,1.269386667,0.80742536,0.71413546,0.818086216,0.479298514,0.682725785,1.322756503,1.397426598,1.30738264,1.36416949,1.319748846,1.32142171,1.541909837,0.91761385,1.059648402,2.008071796,1.58668257,0.735249877,1.390170605,0.674910755,0.746324864,1.013717343,0.876544399,1.486439503,1.107852732,0.498751087,0.585555329,0.880201779,1.439980971,1.389733495,1.15991986,0.808692894,1.253897624,0.897426528,1.92980939,1.281072008,2.355861505,0.86432167,1.155893604,1.043702118
acetyl-lysine,0.008154345,0.008283899,0.008141188,0.006522229,0.006310896,0.00627609,0.006518048,0.006691201,0.013863485,0.008718545,0.01004505,0.013029061,0.009471219,0.008718697,0.009797489,0.008637638,0.008017141,0.008612971,0.00903328,0.007691068,0.00821468,0.010687434,0.00869197,0.008261637,0.007068154,0.010364305,0.007947784,0.009406522,0.009835445,0.0086118,0.008910015,0.007634039,0.009451504,0.008835034,0.010088917,0.010670096,0.007818506,0.00846862,0.007948788,0.00986157,0.010778272,0.006554052,0.01167069,0.008688373,0.008584562,0.007396008,0.006824699,0.008111921,0.006658248,0.006429737,0.008948269,0.006241508,0.009141971,0.009442637,0.007751416,0.007366223,0.010128878,0.007472225,0.006949095,0.005933823,0.006838727,0.010005456,0.009838837,0.008678487,0.010540307,0.007151339,0.007481182,0.009292294,0.007812674,0.009454149,0.009881543,0.007941785,0.00815051,0.007312075,0.008889382,0.011690563,0.007287093,0.006507708,0.006571232,0.006278842,0.008003128,0.009685689,0.00810219,0.009025065,0.00792333,0.010040471,0.007727104,0.006623988,0.006500477,0.006892261,0.007956505,0.006569808,0.008369161,0.010948062,0.009284445,0.014109974,0.013565601
Acetylcholine,4.39E-04,0,6.43E-04,4.64E-04,4.85E-04,3.28E-04,0,5.15E-04,0,0,0,0,6.08E-04,0,4.01E-04,6.67E-04,0,6.61E-04,0,4.57E-04,4.83E-04,0,8.06E-04,5.55E-04,4.80E-04,4.58E-04,3.97E-04,8.06E-04,0,0,0,6.30E-04,4.99E-04,0,0,6.78E-04,5.55E-04,6.92E-04,0,7.05E-04,0,6.04E-04,0,0,0,0,0,0,6.27E-04,6.12E-04,0,0,0,0,5.76E-04,0,0,0,0,0,0,0,5.37E-04,0,0,0,0,0,0,0,0,0,0.001869009,0,0,0,0,5.32E-04,7.26E-04,5.02E-04,0,0,5.65E-04,0,6.77E-04,0,0,7.80E-04,0,0,0,0,9.37E-04,0,4.85E-04,8.95E-04,0
Adenine,0.002807508,0.001774257,0.001032197,0.004031967,9.84E-04,0.002538863,0.002551514,0.001554234,0.016089161,0.005185862,0.001283214,0.001572968,0.001623557,0.0221923,0.00116257,8.89E-04,0.007992011,0.002455085,0.002138396,0.001935998,0.004321466,0.001885491,0.002172324,8.72E-04,0.00240266,0.003091791,0.001003256,9.21E-04,0.001971279,0.002650673,0.002712046,0.002062415,0.002039683,0.006311894,0.002547197,0.001253707,7.81E-04,0.003528045,0.00275269,0.007066598,0.00328219,0.002685248,0.001203555,9.73E-04,0.005223768,0.002418195,9.66E-04,0.001255494,0.001816462,0.001238422,0.002159005,9.72E-04,8.35E-04,7.97E-04,0.001117097,0.00125291,0.003242141,0.001228108,0.002960772,0.00248304,0.00128614,0.001080058,0.001152577,0.00226157,6.79E-04,0.002284139,0.001131637,0.001921244,0.00127576,9.82E-04,0.002546653,0.001454701,7.90E-04,0.001182375,0.002561365,7.32E-04,0.001037922,0.001894921,0.002316543,9.58E-04,7.80E-04,0.00134843,0.001496566,0.001450275,0.001411547,0.002237451,0.001133194,9.55E-04,0.00279644,7.47E-04,0.00107361,9.96E-04,0.002110628,0.003907426,0.002266059,0.002238683,9.06E-04
Adenosine,0.004746605,0.002419385,0.004155422,0.059499301,0.002306579,0.001709428,0.010025723,0.005721285,0.396537542,0.082204822,0.004709352,0.005771377,0.004836221,0.618758911,0.004841461,0.00368987,0.179578376,0.008181908,0.004577042,0.003748946,0.11150187,0.007797743,0.018006157,0.00280724,0.018679885,0.023110143,0.004324971,9.32E-04,0.002337572,0.003067974,0.001314626,0.006381425,0.003337657,0.142074461,0.002014067,0.002925087,0.002707709,0.0474163,0.004395359,0.14197519,0.009105902,0.00837631,0.006924586,0.007222153,0.125488368,0.00414448,0.005033758,0.004286972,0.010036402,0.00303354,0.006560532,0.004950811,0.002569375,0.002380595,0.002551128,0.002321916,0.038612082,0.004592076,0.035787421,0.008509539,0.003260471,0.004067365,0.002968874,0.002210704,8.34E-04,0.003766219,0.001664753,9.82E-04,0.003057293,0.00165843,0.010705917,0.003775201,0.004552449,0.002342431,0.005284788,0.002838831,0.003636269,0.008496267,0.029665496,0.007677676,0.006751656,0.002596281,0.008046914,0.005534587,0.013222182,0.003839043,0.002369319,0.002894341,0.00542777,0.003711327,0.003772723,0.003745141,0.012577307,0.074896256,0.010013596,0.002400256,0.005205793
Adipate,0.001381893,0.001861869,0.002712879,0.001908244,0.001645098,0.002355949,0.002172798,0.001634353,0.002206492,0.001628253,0.002111579,0.001404509,0.001857399,0.001517345,0.001410135,0.001721278,0.002002417,0.002262155,0.001829517,0.0023269,0.001841133,0.002384592,0.002838851,0.002501596,0.001734593,0.003415946,0.001444445,0.002172453,0.001588695,0.003254329,0.002423039,0.002094249,0.001538559,0.004097277,0.003233722,0.002506262,0.002023542,0.002059723,0.002161426,0.002645023,0.003069439,0.002896904,0.002951821,0.001797329,0.001933679,0.002893305,0.002522017,0.002296632,0.00184385,0.001890804,0.002528837,0.001987735,0.002237269,0.002369908,0.001943326,0.00189398,0.002193747,0.002543777,0.002645193,0.002223556,0.002296521,0.003166022,0.001692296,0.002332977,0.002836854,0.001975859,0.001830463,0.004713308,0.005250255,0.003912604,0.002291788,0.003239421,0.002192644,0.002566201,0.002211188,0.002018453,0.002107419,0.001662118,0.001442154,0.001972625,0.002392716,0.002267593,0.003001937,0.002338807,0.001851733,0.002203681,0.002678632,0.004125151,0.002302981,0.001858098,0.003516154,0.002004009,0.002438062,0.002735109,0.002307417,0.003853126,0.002627921
Alanine,0.588201416,0.61650578,0.57319856,0.377403711,0.566344115,0.530175281,0.734005125,0.683904265,0.948027863,0.490828111,1.003232916,0.762869352,0.765272896,0.57316964,0.690870302,0.528791029,0.632111603,0.731281283,0.528753243,0.546513478,0.402549748,0.510432857,0.639963735,0.644146362,1.067452263,0.745921742,0.52497806,0.716596172,0.648578188,0.650124873,0.878267954,0.696030787,0.677634176,0.833609477,0.817627753,0.929780997,1.028665598,0.639872083,0.574461549,0.642050342,0.72024022,0.493116088,0.595062242,0.482646269,0.926501383,0.46809994,0.677000485,0.618858696,0.683105451,0.751013383,0.805985901,0.704059992,0.706660671,0.81108961,0.786304278,0.866986434,0.861138642,0.925359761,0.916824219,0.606839011,0.877415718,0.965333537,0.741440024,0.897878354,0.804972419,0.888409623,0.901203544,0.741212597,0.912623991,0.892525471,0.826756985,0.788958721,0.49883151,0.664873008,0.708978726,0.861080792,0.696034934,0.58628567,0.584574607,0.614175567,0.421892849,0.627431076,0.781407731,0.761614437,0.709530779,0.66823161,0.55762924,0.591555816,0.533658158,0.733941411,0.530823512,0.497832518,0.5505117,0.445235051,0.621303935,0.672413094,0.683148868
Aleuritic acid,0,0,0.001529153,0,0,0,0,0.002076784,0,0.002621952,0.001151971,0.00188804,0.001790279,9.51E-04,0.00204152,0,0,0,0,0,0.002227173,0,0,0,0,0,0,0,0.001140905,0,0,0,0.001523355,0,0,0,0,0,0,0,0.002030497,0,0,0.002348798,0,0,0,0,0,0.001457023,0,0.002379196,0,0.002942029,1.37E-04,0.001646958,0,0.003102773,0.002124133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002828815,0,0,0,0,0,0,0,0,0,0,0,0,0.002400128,0,0,0,0,5.44E-04,0.002969874,0.002775933,0,0,0,0
"all-cis-4,7,10,13,16-Docosapentaenoic acid",0.007288314,0.00474257,0.004112455,0.004865818,0.004466517,0.010639796,0.004884906,0.009705437,0.002273429,0.007318889,0.002929193,0.003961444,0.006385188,0.006568893,0.004282965,0.01799632,0.005620753,0.004407246,0.011664656,0.00254316,0.006343419,0.0023144,0,0.006396038,0.001910185,0.007576311,0.006868563,0.006020009,0.005309162,0.004558838,0.003795472,0.002545438,0.011295585,0.002823888,0.012985999,0.003070124,0.003837356,0.005175551,0.010092259,0.005174311,0.005236981,0.004670699,0,0.01001203,0.00944647,0.003634526,0,0.002543765,0.010444286,0.012103045,0.006232558,0.013447766,0.015956311,0.004041665,0.004490215,0.014256582,0.004711347,0.012453112,0.003519513,0,0.001804451,0.003224365,0.006311741,0.008113772,0.013710333,0.009103855,0.012439573,0.007547269,0.010836091,0.013381126,0,0.008079978,0.010905531,0.009997092,0.002769477,0.002986934,0.004822098,0.003432274,0.002248301,0.004674876,0.010091634,0.004629847,0.005025319,0.003693404,0.004594699,0.017286835,0.005006661,0,0.003293808,0,0.005013266,0.006558085,0.004710177,0.017986631,0.003623314,0.002393057,0.002875063
Allothreonine,0.005473853,0.005088529,0.005301409,0.004836347,0.004811077,0.003846449,0.0046737,0.003861991,0.004899071,0.005008955,0.004819371,0.005579716,0.005450444,0.005201495,0.004677145,0.004864395,0.005780028,0.004913385,0.005070673,0.005551049,0.004978851,0.004425503,0.004515132,0.005584448,0.004740819,0.004461854,0.005621647,0.005398272,0.004341751,0.005007498,0.007668601,0.005631936,0.005725117,0.006015613,0.004662066,0.004406763,0.004981551,0.005372274,0.005743757,0.005403746,0.005656182,0.00515463,0.004770591,0.003642006,0.005432479,0.004757524,0.004942203,0.005502683,0.004835868,0.005445986,0.005117931,0.004619068,0.003781278,0.004442077,0.00412197,0.003899765,0.005212802,0.004587715,0.004778095,0.00517762,0.004810184,0.005320371,0.005711615,0.004156517,0.004651255,0.004415559,0.00464856,0.005005161,0.006121712,0.004447544,0.005312773,0.005024017,0.005147728,0.005242171,0.005449277,0.005573652,0.005871034,0.004859029,0.00533983,0.006485704,0.004635439,0.004873359,0.004924052,0.005515284,0.005841815,0.005209179,0.004732853,0.005509628,0.005818806,0.004687338,0.004992246,0.005088516,0.005211243,0.004825242,0.00563609,0.006021865,0.004838232
Alpha-Tocopherol,0.009834411,0.010177203,0.013750613,0.010240831,0.012554401,0.010421542,0.00426541,0.02604148,0.020560028,0.006615374,0.008105353,0.006612531,0.013845238,0.025930818,0.006469632,0.004943402,0.007374764,0.008337242,0.007286533,0.004145601,0.010563243,0.005884158,0.006119748,0.010250505,0.018902276,0.003922813,0.00425117,0.178876772,0.008473912,0.005078851,0.007964543,0.010537985,0.017883839,0.01086851,0.011244984,0.010252392,0.006037982,0.012854796,0.00463167,0.010487012,0.005082749,0.011587443,0.011329775,0.031201063,0.007736752,0.004283734,0.003603411,0.002880306,0.009795421,0.008007026,0.014805353,0.013704515,0.014107597,0.009010964,0.007964653,0.02041177,0.011846847,0.009245542,0.009963856,0.006981955,0.004898834,0.0097512,0.004083307,0.018835112,0.034896992,0.009720684,0.006647154,0.014338659,0.00420589,0.005511089,0.007202917,0.006635,0.009371526,0.005379213,0.006637588,0.010921903,0.013007758,0.0065066,0.016416015,0.011541064,0.008994708,0.00685615,0.003728761,0.007684578,0.010947022,0.015975057,0.007715517,0.008469129,0.006742444,0.006679464,0.005783215,0.008433496,0.007566455,0.004867167,0.04331407,0.059550292,0.007875268
aminoadipate,0.012188219,0.020438297,0.010096422,0.008856534,0.017498425,0.009495489,0.008061425,0.008248251,0.005082979,0.005928562,0.004415856,0.005815889,0.006537513,0.005789131,0.005618762,0.005396061,0.004466354,0.00407639,0.005402061,0.005791517,0.004929611,0.008596723,0.010007997,0.007445283,0.007758099,0.00778871,0.009430668,0.009853657,0.011563942,0.010170039,0.004653323,0.003986456,0.00758063,0.004836795,0.006732018,0.006032445,0.004590774,0.005649198,0.005433334,0.004496876,0.006058975,0.005342642,0.006181857,0.008770393,0.008892459,0.007138312,0.006670094,0.01113232,0.007475067,0.008776943,0.011710575,0.006241537,0.00918064,0.006548031,0.008196892,0.009396645,0.014299213,0.009373641,0.005952722,0.007315253,0.007380983,0.009230681,0.00643761,0.009918593,0.01328471,0.007525952,0.010746096,0.01136142,0.009349663,0.01130395,0.014593384,0.012232682,0.007592829,0.00761908,0.007191913,0.006443809,0.008970857,0.012319248,0.00894525,0.008480433,0.00752093,0.007522747,0.005292593,0.005719366,0.004682864,0.006910875,0.009748823,0.009315985,0.006308289,0.004984174,0.005330168,0.004973634,0.005838643,0.005982742,0.005632569,0.006142109,0.005328962
AMP,0,2.14E-04,0,1.80E-04,0,1.60E-04,2.02E-04,3.28E-04,5.38E-04,2.57E-04,0,3.69E-04,0,0.001005467,0,0,0,2.46E-04,2.75E-04,0,2.91E-04,0,0,0,0,2.71E-04,2.00E-04,0,0,1.86E-04,0,1.62E-04,4.49E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95E-04,4.90E-04,0,0,0,0,0,0,0,2.11E-04,0,0,1.32E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24E-04,2.88E-04,0,0,0,0,0,3.86E-04,4.68E-04,0,0,0,0,0,0,0,0,2.78E-04,0,0
